Program,Degree Offered,Core Courses,Description,Admission requirements,Potential Career Goals,Deadlines
Data Science,"M.P.S, P.B.C","Introduction to Data Science, Data Analysis, Machine Learning, Big Data Platforms","The goal of the program prepares students from a wide range of disciplinary backgrounds for careers in data science. In the core courses, students will receive a fundamental understanding of data science through classes that highlight machine learning, data analysis and data management. The core courses will also introduce students to ethical and legal implications surrounding data science.

Beyond the core courses, students will take three courses in domain specific pathways developed in collaboration with academic departments across the university. Through these pathways, students will be able to utilize the skills and techniques learned in the core courses within their own field or area of expertise.","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 300","Data Scientist, Data Analyst, Machine Learning Engineer","Domestic Application Deadlines:
Fall Admission: January 1 (for financial consideration), June 1
Spring Admission: June 1 (for financial consideration), November 1

International Application Deadlines:
Fall Admission: January 7
Spring Admission: June 1"
Software Engineering,"M.P.S, P.B.C","Software Project Management, Quality Assurance, Design Patterns","Students will gain both comprehensive software engineering knowledge and skills, in addition to increased exposure to coursework in leadership, communications, management, and ethics.  The MPS degree provides hands-on applied experience, real-world application of relevant concepts, mentorship, and industry connections.

Students will learn modern approaches to software development: requirements analysis, system design techniques, formal specification techniques, implementation, testing, debugging, metrics, human factors, quality assurance, cost estimation, maintenance, and tools.
Students will be introduced to, and gain firsthand experience on, the fundamentals of software testing and the main phases in the software development process.
Students will gain experience working on hands-on programming projects that prepare students to work in co-located or geographically distributed software development team environments","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 300","Software Engineer, Project Manager, Systems Architect","Domestic Application Deadlines
Fall: August 1
Spring: December 1

International Application Deadlines
Fall: June 1
Spring: October 1"
Computer Science,"M.S., M.P.S., Ph.D.","Algorithms, Operating Systems, Computer Architecture","AI, Machine Learning, Cybersecurity, Networks","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 301","Software Developer, Research Scientist, Cybersecurity Analyst","Domestic Application Deadlines
Fall: August 1
Spring: December 1

International Application Deadlines
Fall: June 1
Spring: October 1"
Information Systems,"M.S., Ph.D.","Database Management Systems, Systems Analysis and Design","Human-Centered Computing, Health IT, Cybersecurity","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 302","Systems Analyst, IT Manager, Security Consultant","Domestic Application Deadlines:
M.S. Spring semester: October 1
M.S. Fall semester: May 1
Ph.D.: January 7 and September 1

International Application Deadlines: 
M.S. Fall semester: April 1
Ph.D.: January 7 and September 1"
Engineering Management,M.S.,"Project Management Fundamentals, Systems Engineering Management","Leadership, Risk Management, Decision Sciences","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 303","Engineering Manager, Project Lead, Operations Manager","Domestic Application Deadlines:
Fall: August 1
Spring: December 1

International Application Deadlines:
Fall: May 1
Spring: October 1"
Cybersecurity,M.P.S.,"Network Security, Information Assurance, Secure Software Development","Cryptography, Cyber Operations, Defense Strategies","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 304","Cybersecurity Specialist, Information Security Analyst","Domestic Application Deadlines
Fall: August 1
Spring: December 1

International Application Deadlines
Fall: May 1
Spring: October 1"
Electrical Engineering,"M.S., Ph.D.","Advanced Electromagnetics, Control Systems","Signal Processing, Photonics, Nanotechnology","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 305","Electrical Engineer, Systems Engineer, Researcher","Domestic Application Deadlines: 
Fall: January 7th (for financial consideration), June 1st
Spring: June 1st (for financial consideration), November 1st

International Application Deadlines: January 7 (fall) and September 1 (spring)"
Health Information Technology,M.P.S.,"Healthcare Data Management, Electronic Health Records","Patient Safety, Healthcare IT, Data Privacy","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 306","Health IT Specialist, Clinical Informatics Manager","Domestic Application Deadlines
Fall: August 1
Spring: December 1

International Application Deadlines
Fall: June 1
Spring: October 1"
Mechanical Engineering,Verify Degree,"Thermodynamics, Machine Design","Robotics, Fluid Mechanics, Energy Systems","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 307","Mechanical Engineer, Robotics Engineer, Energy Systems Analyst","Domestic Application Deadlines
Fall: August 1
Spring: December 1

International Application Deadlines
Fall: June 1
Spring: October 1"
Project Management,Integrated into Engineering Management,"Project Planning, Execution, and Control","Strategic Project Management, Agile Practices","B.S. degree with a minimum undergraduate B.S in Engineering or Information Technology GPA of 3.0 on a 4.0 scaleTest of English as a Foreign Language (TOEFL) scores: 90 iBT
International English Language Testing System (IELTS) scores: Minimum score 6.5 and GRE: Minimum Quantitative Score: 308","Project Manager, Program Director, Operations Analyst","Domestic Application Deadlines
Fall: August 1
Spring: December 1

International Application Deadlines
Fall: June 1
Spring: October 1"
